Date,Revenus
01-2009,35.64
02-2009,37.62
03-2009,37.62
04-2009,37.62
05-2009,37.62
06-2009,37.62
07-2009,37.62
08-2009,37.62
09-2009,37.62
10-2009,37.62
11-2009,37.62
12-2009,37.62
01-2010,52.62
02-2010,46.62
03-2010,44.62
04-2010,37.62
05-2010,37.62
06-2010,37.62
07-2010,37.62
08-2010,37.62
09-2010,36.63
10-2010,37.62
11-2010,37.62
12-2010,37.62
01-2011,37.62
02-2011,37.62
03-2011,37.62
04-2011,51.62
05-2011,42.62
06-2011,50.62
07-2011,37.62
08-2011,37.62
09-2011,37.62
10-2011,37.62
11-2011,23.76
12-2011,37.62
01-2012,37.62
02-2012,37.62
03-2012,37.62
04-2012,37.62
05-2012,37.62
06-2012,37.62
07-2012,39.62
08-2012,47.62
09-2012,46.71
10-2012,42.62
11-2012,37.62
12-2012,37.62
01-2013,37.62
02-2013,27.72
03-2013,37.62
04-2013,33.66
05-2013,37.62
06-2013,37.62
07-2013,37.62
08-2013,37.62
09-2013,37.62
10-2013,37.62
11-2013,49.62
12-2013,38.62
