Country,Genre,Revenus
USA,Rock,155.43
Canada,Rock,105.93
Brazil,Rock,80.19
France,Rock,64.35
Germany,Rock,61.38
United Kingdom,Rock,36.63
Portugal,Rock,30.69
Czech Republic,Rock,24.75
India,Rock,24.75
Australia,Rock,21.78
Poland,Rock,21.78
Spain,Rock,21.78
Belgium,Rock,20.79
Denmark,Rock,20.79
Finland,Rock,17.82
Italy,Rock,17.82
Netherlands,Rock,17.82
Norway,Rock,16.83
Austria,Rock,14.85
Ireland,TV Shows,13.93
Sweden,Latin,11.88
Hungary,Rock,10.89
Argentina,Alternative & Punk,8.91
Argentina,Rock,8.91
Chile,Rock,8.91
