ArtistId,Artist
25,Milton Nascimento & Bebeto
26,Azymuth
28,João Gilberto
29,Bebel Gilberto
30,Jorge Vercilo
31,Baby Consuelo
32,Ney Matogrosso
33,Luiz Melodia
34,Nando Reis
35,Pedro Luís & A Parede
38,Banda Black Rio
39,Fernanda Porto
40,Os Cariocas
43,A Cor Do Som
44,Kid Abelha
45,Sandra De Sá
47,Hermeto Pascoal
48,Barão Vermelho
49,"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto"
60,Santana Feat. Dave Matthews
61,Santana Feat. Everlast
62,Santana Feat. Rob Thomas
63,Santana Feat. Lauryn Hill & Cee-Lo
64,Santana Feat. The Project G&B
65,Santana Feat. Maná
66,Santana Feat. Eagle-Eye Cherry
67,Santana Feat. Eric Clapton
71,Vinícius De Moraes & Baden Powell
73,Vinícius E Qurteto Em Cy
74,Vinícius E Odette Lara
75,"Vinicius, Toquinho & Quarteto Em Cy"
107,Motörhead & Girlschool
119,Peter Tosh
123,R.E.M. Feat. KRS-One
129,Simply Red
154,Whitesnake
160,Christina Aguilera featuring BigElf
161,Aerosmith & Sierra Leone's Refugee Allstars
162,Los Lonely Boys
163,Corinne Bailey Rae
164,Dhani Harrison & Jakob Dylan
165,Jackson Browne
166,Avril Lavigne
167,Big & Rich
168,Youssou N'Dour
169,Black Eyed Peas
170,Jack Johnson
171,Ben Harper
172,Snow Patrol
173,Matisyahu
174,The Postal Service
175,Jaguares
176,The Flaming Lips
177,Jack's Mannequin & Mick Fleetwood
178,Regina Spektor
181,Xis
182,Nega Gizza
183,Gustavo & Andres Veiga & Salazar
184,Rodox
185,Charlie Brown Jr.
186,Pedro Luís E A Parede
187,Los Hermanos
188,Mundo Livre S/A
189,Otto
190,Instituto
191,Nação Zumbi
192,DJ Dolores & Orchestra Santa Massa
193,Seu Jorge
194,Sabotage E Instituto
195,Stereo Maracana
196,Cake
197,Aisha Duo
199,Karsh Kale
202,Aaron Goldberg
203,Nicolaus Esterhazy Sinfonia
206,Alberto Turco & Nova Schola Gregoriana
207,"Richard Marlow & The Choir of Trinity College, Cambridge"
209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker"
210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer"
211,Wilhelm Kempff
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer"
218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner
219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti"
223,London Symphony Orchestra & Sir Charles Mackerras
224,Barry Wordsworth & BBC Concert Orchestra
225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker"
227,Luciano Pavarotti
228,Leonard Bernstein & New York Philharmonic
229,Boston Symphony Orchestra & Seiji Ozawa
230,Aaron Copland & London Symphony Orchestra
231,Ton Koopman
232,Sergei Prokofiev & Yuri Temirkanov
236,James Levine
239,"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett"
240,Gustav Mahler
244,Choir Of Westminster Abbey & Simon Preston
246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker"
249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker"
250,Christopher O'Riley
251,Fretwork
258,Les Arts Florissants & William Christie
262,Charles Dutoit & L'Orchestre Symphonique de Montréal
268,Itzhak Perlman
270,Gerald Moore
271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp"
273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu"
274,Nash Ensemble
275,Philip Glass Ensemble
