Country,Panier_Moyen
Argentina,5.37428571428571
Australia,5.37428571428571
Austria,6.08857142857143
Belgium,5.37428571428571
Brazil,5.43142857142857
Canada,5.42785714285714
Chile,6.66
Czech Republic,6.44571428571429
Denmark,5.37428571428571
Finland,5.94571428571429
France,5.57428571428571
Germany,5.58857142857143
Hungary,6.51714285714286
India,5.78923076923077
Ireland,6.51714285714286
Italy,5.37428571428571
Netherlands,5.80285714285714
Norway,5.66
Poland,5.37428571428571
Portugal,5.51714285714286
Spain,5.37428571428571
Sweden,5.51714285714286
USA,5.74791208791209
United Kingdom,5.37428571428571
