Name,UnitPrice,nb_ventes
The Trooper,0.99,5
Eruption,0.99,4
Hallowed Be Thy Name,0.99,4
Sure Know Something,0.99,4
The Number Of The Beast,0.99,4
Untitled,0.99,4
2 Minutes To Midnight,0.99,3
Blood Brothers,0.99,3
Brasil,0.99,3
Can I Play With Madness,0.99,3
Dazed and Confused,0.99,3
Flying High Again,0.99,3
Good Golly Miss Molly,0.99,3
Heaven Can Wait,0.99,3
Iron Maiden,0.99,3
Linha Do Equador,0.99,3
Plaster Caster,0.99,3
Release,0.99,3
Sanctuary,0.99,3
Selvagem,0.99,3
Stairway To Heaven,0.99,3
Surrender,0.99,3
Sweetest Thing,0.99,3
Welcome Home (Sanitarium),0.99,3
Where Eagles Dare,0.99,3
A Cor Do Sol,0.99,2
A Melhor Forma,0.99,2
A Novidade (Live),0.99,2
"Abraham, Martin And John",0.99,2
Acelerou,0.99,2
Aces High,0.99,2
Afraid To Shoot Strangers,0.99,2
All Along The Watchtower,0.99,2
All I Want Is You,0.99,2
Amor De Muito,0.99,2
Ando Meio Desligado,0.99,2
Animal,0.99,2
As Rosas Não Falam (Beth Carvalho),0.99,2
Azul,0.99,2
Açai,0.99,2
Babylon,0.99,2
Balls to the Wall,0.99,2
Banditismo Por Uma Questa,0.99,2
Basket Case,0.99,2
Battery,0.99,2
Beautiful Boy,0.99,2
Before You Accuse Me,0.99,2
Beira Mar,0.99,2
Believe,0.99,2
Bem Devagar,0.99,2
Better Than You,0.99,2
Big Wave,0.99,2
Binky The Doormat,0.99,2
Black Dog,0.99,2
Blue Rythm Fantasy,0.99,2
Boris The Spider,0.99,2
Bowels Of The Devil,0.99,2
Branch Closing,1.99,2
Breakdown,0.99,2
Bron-Y-Aur Stomp,0.99,2
Bullet With Butterfly Wings,0.99,2
Bumbo Da Mangueira,0.99,2
C'est La Vie,0.99,2
Cabeça Dinossauro,0.99,2
Caffeine,0.99,2
Caleidoscópio,0.99,2
Calling Dr. Love,0.99,2
Celebration Day,0.99,2
Chemical Wedding,0.99,2
Cherub Rock,0.99,2
Children Of The Grave,0.99,2
City Of Blinding Lights,0.99,2
Comida,0.99,2
Comin' Home,0.99,2
Commotion,0.99,2
Communication Breakdown,0.99,2
Compadre,0.99,2
Comportamento Geral,0.99,2
Cornucopia,0.99,2
Country Feedback,0.99,2
Dancing Days,0.99,2
Dazed And Confused,0.99,2
Desire,0.99,2
Deuces Are Wild,0.99,2
Dezesseis,0.99,2
Dirty Day,0.99,2
"Dois Pra Lá, Dois Pra Cá",0.99,2
Don't Look Now,0.99,2
Don't Look To The Eyes Of A Stranger,0.99,2
Don't Take Your Love From Me,0.99,2
Down by the Sea,0.99,2
Dream Of Mirrors,0.99,2
Drifter,0.99,2
Drum Boogie,0.99,2
Easy,0.99,2
End Of Romanticism,0.99,2
Esporrei Na Manivela,0.99,2
Esquinas,0.99,2
Everlasting Love,0.99,2
Falamansa Song,0.99,2
Fall On Me,0.99,2
Fear Of The Dark,0.99,2
Firmamento,0.99,2
Folhas Secas,0.99,2
For Whom The Bell Tolls,0.99,2
For Your Life,0.99,2
For the Greater Good of God,0.99,2
Gangland,0.99,2
Garden of Eden,0.99,2
Gay Witch Hunt,1.99,2
Geni E O Zepelim,0.99,2
Get Up,0.99,2
Ghost Of The Navigator,0.99,2
Gimme Some Truth,0.99,2
Give Me Novacaine,0.99,2
Give Peace a Chance,0.99,2
Gyroscope,0.99,2
Hallelujah Here She Comes,0.99,2
Heaven Coming Down,0.99,2
Helpless,0.99,2
Hey America,0.99,2
Holiday,0.99,2
Hot Girl,1.99,2
How Many More Times,0.99,2
How to Stop an Exploding Man,1.99,2
I Believe,0.99,2
I Can't Explain,0.99,2
I'm Going Slightly Mad,0.99,2
I'm Gonna Crawl,0.99,2
Imagine,0.99,2
Immigrant Song,0.99,2
In The Evening,0.99,2
Inject The Venom,0.99,2
Intro,0.99,2
Is This Love (Live),0.99,2
J Squared,0.99,2
Judgement Of Heaven,0.99,2
Já Foi,0.99,2
King For A Day,0.99,2
L'Arc En Ciel De Miles,0.99,2
L'Avventura,0.99,2
Lamento De Carnaval,0.99,2
Last Cup Of Sorrow,0.99,2
Lay Down Sally,0.99,2
Layla,0.99,2
Leave My Girl Alone,0.99,2
Lemon Drop,0.99,2
Leper Messiah,0.99,2
Let Me Love You Baby,0.99,2
Light Years,0.99,2
Living Loving Maid (She's Just A Woman),0.99,2
Living On Love,0.99,2
Lixo Do Mangue,0.99,2
Lonely Stranger,0.99,2
Lugar Nenhum,0.99,2
"Mama, I'm Coming Home",0.99,2
Manguetown,0.99,2
Master Of Puppets,0.99,2
Maybe I'm A Leo,0.99,2
Meditação,0.99,2
Mel,0.99,2
Menestrel Das Alagoas,0.99,2
Menino De Rua,0.99,2
Mensagen De Amor (2000),0.99,2
Meu Caro Amigo,0.99,2
Meu Erro,0.99,2
Miami,0.99,2
Midlife Crisis,0.99,2
Midnight From The Inside Out,0.99,2
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),0.99,2
Moonchild,0.99,2
Morena De Angola,0.99,2
Motorbreath,0.99,2
Mr. Cab Driver,0.99,2
"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",0.99,2
Música No Ar,0.99,2
Nebulosa Do Amor,0.99,2
Nega Do Cabelo Duro,0.99,2
New Year's Day,0.99,2
Nice Guys Finish Last,0.99,2
No No No,0.99,2
No Quarter,0.99,2
Norwegian Wood,0.99,2
