Name,UnitPrice,Revenus
The Trooper,0.99,49.5
Eruption,0.99,45.54
The Fix,1.99,43.77
The Woman King,1.99,43.77
Walkabout,1.99,43.77
Untitled,0.99,37.62
The Number Of The Beast,0.99,34.65
Sure Know Something,0.99,32.67
Where Eagles Dare,0.99,31.68
Phyllis's Wedding,1.99,29.82
Dazed and Confused,0.99,28.71
Heaven Can Wait,0.99,28.71
Iron Maiden,0.99,28.71
Linha Do Equador,0.99,28.71
Afraid To Shoot Strangers,0.99,27.72
Animal,0.99,27.72
Polly,0.99,27.72
Smells Like Teen Spirit,0.99,27.72
Stormbringer,0.99,27.72
The Unforgiven,0.99,27.72
The Wicker Man,0.99,27.72
You Got Me Rocking,0.99,27.72
Blood Brothers,0.99,26.73
Collaborators,1.99,25.86
Deus Ex Machina,1.99,25.86
Insensível,0.99,25.86
"Live Together, Die Alone, Pt. 1",1.99,25.86
"Man of Science, Man of Faith (Premiere)",1.99,25.86
One Giant Leap,1.99,25.86
Outlaws,1.99,25.86
Par Avion,1.99,25.86
So Cruel,0.99,25.86
Stranger In a Strange Land,1.99,25.86
The Moth,1.99,25.86
Hallelujah Here She Comes,0.99,25.82
Peace On Earth,0.99,24.85
2 Minutes To Midnight,0.99,24.75
Can I Play With Madness,0.99,24.75
Good Golly Miss Molly,0.99,24.75
Welcome Home (Sanitarium),0.99,24.75
"""?""",1.99,23.86
Acrobat,0.99,23.86
Catch-22,1.99,23.86
Company Man,1.99,23.86
"Crossroads, Pt. 1",1.99,23.86
Dancing Barefoot,0.99,23.86
Enter 77,1.99,23.86
Even Better Than The Real Thing,0.99,23.86
Exposé,1.99,23.86
House of the Rising Sun,1.99,23.86
Lost Survival Guide,1.99,23.86
Orientation,1.99,23.86
Seven Minutes to Midnight,1.99,23.86
How to Stop an Exploding Man,1.99,23.85
Brasil,0.99,23.76
Plaster Caster,0.99,23.76
Selvagem,0.99,23.76
City Of Blinding Lights,0.99,22.85
Everlasting Love,0.99,22.82
Miami,0.99,22.82
A Cor Do Sol,0.99,22.77
Ando Meio Desligado,0.99,22.77
Big Wave,0.99,22.77
Celebration Day,0.99,22.77
Comin' Home,0.99,22.77
Comportamento Geral,0.99,22.77
Dazed And Confused,0.99,22.77
Dezesseis,0.99,22.77
Drifter,0.99,22.77
Falamansa Song,0.99,22.77
Fear Of The Dark,0.99,22.77
For the Greater Good of God,0.99,22.77
Já Foi,0.99,22.77
L'Avventura,0.99,22.77
Light Years,0.99,22.77
Lixo Do Mangue,0.99,22.77
Maybe I'm A Leo,0.99,22.77
Menestrel Das Alagoas,0.99,22.77
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),0.99,22.77
Mr. Cab Driver,0.99,22.77
No No No,0.99,22.77
Norwegian Wood,0.99,22.77
Not The Doctor,0.99,22.77
Plot 180,0.99,22.77
Por Causa De Você,0.99,22.77
Prowler,0.99,22.77
Right On Time,0.99,22.77
Smoke On The Water,0.99,22.77
Speed Of Light,0.99,22.77
Sun King,0.99,22.77
Take It Or Leave It,0.99,22.77
Tear,0.99,22.77
Tempo Perdido,0.99,22.77
The Duke,0.99,22.77
The Last Song,0.99,22.77
The Thin Line Between Love & Hate,0.99,22.77
Times Like These,0.99,22.77
Train In Vain,0.99,22.77
Under The Bridge,0.99,22.77
"Whatever It Is, I Just Can't Stop",0.99,22.77
Year to the Day,0.99,22.77
...And Found,1.99,21.86
Adrift,1.99,21.86
Christmas Party,1.99,21.86
Dirty Little Thing,0.99,21.86
Diwali,1.99,21.86
Exodus (Part 2) [Season Finale],1.99,21.86
Here I Go Again,0.99,21.86
Michael's Birthday,1.99,21.86
Mofo,0.99,21.86
S.O.S.,1.99,21.86
Sapopemba e Maxambomba,0.99,21.86
Seu Balancê,0.99,21.86
So Por Amor,0.99,21.86
Spanish Eyes,0.99,21.86
The 23rd Psalm,1.99,21.86
The Deeper The Love,0.99,21.86
The Dundies,1.99,21.86
The Fly,0.99,21.86
The Long Con,1.99,21.86
The Long Patrol,1.99,21.86
The Man Behind the Curtain,1.99,21.86
The Other 48 Days,1.99,21.86
The Whole Truth,1.99,21.86
Walk On,0.99,21.86
Flying High Again,0.99,21.78
Gay Witch Hunt,1.99,20.85
When I Look At The World,0.99,20.84
Slither,0.99,20.82
All Along The Watchtower,0.99,19.85
Branch Closing,1.99,19.84
Imagine,0.99,19.82
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",0.99,19.82
Acelerou,0.99,19.8
Dream Of Mirrors,0.99,19.8
Leave My Girl Alone,0.99,19.8
Primavera,0.99,19.8
Run To The Hills,0.99,19.8
So What,0.99,19.8
The Evil That Men Do,0.99,19.8
"A Benihana Christmas, Pts. 1 & 2",1.99,18.86
Born to Run,1.99,18.86
Dave,1.99,18.86
Diversity Day,1.99,18.86
Faixa Amarela,0.99,18.86
Fire + Water,1.99,18.86
God Part II,0.99,18.86
Halloween,1.99,18.86
Headspace,0.99,18.86
Homecoming,1.99,18.86
Love Is Blindness,0.99,18.86
Neworld,0.99,18.86
Now You're Gone,0.99,18.86
One,0.99,18.86
Original Of The Species,0.99,18.86
Primary,0.99,18.86
Samba Do Jato,0.99,18.86
Sem Essa de Malandro Agulha,0.99,18.86
Solitary,1.99,18.86
The Carpet,1.99,18.86
Tudo Na Mais Santa Paz,0.99,18.86
Verdade,0.99,18.86
Vertigo,0.99,18.86
Hot Girl,1.99,18.85
Surrender,0.99,18.81
Release,0.99,18.81
Better Halves,1.99,17.91
"Crossroads, Pt. 2",1.99,17.91
Hero,1.99,17.91
I Do,1.99,17.91
Parasite,1.99,17.91
The Glass Ballerina,1.99,17.91
Lugar Nenhum,0.99,17.85
Toda Cor,0.99,17.85
A Novidade (Live),0.99,17.82
Azul,0.99,17.82
Açai,0.99,17.82
Babylon,0.99,17.82
Banditismo Por Uma Questa,0.99,17.82
Bowels Of The Devil,0.99,17.82
Bullet With Butterfly Wings,0.99,17.82
Bumbo Da Mangueira,0.99,17.82
Cherub Rock,0.99,17.82
Don't Take Your Love From Me,0.99,17.82
Down by the Sea,0.99,17.82
Firmamento,0.99,17.82
Get Up,0.99,17.82
Ghost Of The Navigator,0.99,17.82
Gyroscope,0.99,17.82
I'm Going Slightly Mad,0.99,17.82
Intro,0.99,17.82
King For A Day,0.99,17.82
Lamento De Carnaval,0.99,17.82
Lemon Drop,0.99,17.82
Menino De Rua,0.99,17.82
Nossa Gente (Avisa Là),0.99,17.82
Onde Você Mora?,0.99,17.82
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),0.99,17.82
Pretty Noose,0.99,17.82
Radio Song,0.99,17.82
Re-Align,0.99,17.82
Run Silent Run Deep,0.99,17.82
Sanctuary,0.99,17.82
Shakes and Ladders,0.99,17.82
Somebody To Love,0.99,17.82
Stone Cold Crazy,0.99,17.82
Sunshine Of Your Love,0.99,17.82
Só Tinha De Ser Com Você,0.99,17.82
Voodoo,0.99,17.82
Walter's Walk,0.99,17.82
When My Left Eye Jumps,0.99,17.82
Wrathchild,0.99,17.82
You Better You Bet,0.99,17.82
You're My Best Friend,0.99,17.82
Hallowed Be Thy Name,0.99,17.82
Armadura,0.99,16.86
Atomic Punk,0.99,16.86
Billie Jean,0.99,16.86
Camarão que Dorme e Onda Leva,0.99,16.86
Commercial 2,0.99,16.86
Coração Em Desalinho,0.99,16.86
Die Walküre: The Ride of the Valkyries,0.99,16.86
Dirty Water Dog,0.99,16.86
Do It For The Kids,0.99,16.86
Email Surveillance,1.99,16.86
Four Walled World,0.99,16.86
Humans Being,0.99,16.86
Instinto Colectivo,0.99,16.86
Ji Yeon,1.99,16.86
Love Comes,0.99,16.86
Moth,0.99,16.86
"Past, Present, and Future",1.99,16.86
Salutations,0.99,16.86
Samba Pra Endrigo,0.99,16.86
Sound of a Gun,0.99,16.86
Still Of The Night,0.99,16.86
"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",0.99,16.86
The Hard Part,1.99,16.86
"There's No Place Like Home, Pt. 3",1.99,16.86
Unchained,0.99,16.86
You're Gonna Break My Hart Again,0.99,16.86
Beautiful Boy,0.99,16.85
War Pigs,0.99,16.85
Rehab,0.99,16.85
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",0.99,16.85
Sweetest Thing,0.99,16.83
All Night Thing,0.99,15.86
Call Me a Dog,0.99,15.86
Canon and Gigue in D Major: I. Canon,0.99,15.86
Chega no Suingue,0.99,15.86
Din Din Wo (Little Child),0.99,15.86
Disappearing Act,0.99,15.86
He Can Only Hold Her,0.99,15.86
"Jupiter, the Bringer of Jollity",0.99,15.86
Meet Kevin Johnson,1.99,15.86
Muita Bobeira,0.99,15.86
"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",0.99,15.86
"Requiem, Op.48: 4. Pie Jesu",0.99,15.86
Safe and Sound,0.99,15.86
Say Hello 2 Heaven,0.99,15.86
Scar On the Sky,0.99,15.86
Shape of Things to Come,0.99,15.86
Show Me How to Live (Live at the Quart Festival),0.99,15.86
Something Nice Back Home,1.99,15.86
"Symphony No. 104 in D Major ""London"": IV. Finale: Spiritoso",0.99,15.86
The Economist,1.99,15.86
"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",0.99,15.86
Two Fanfares for Orchestra: II. Short Ride in a Fast Machine,0.99,15.86
Um Lugar ao Sol,0.99,15.86
Until We Fall,0.99,15.86
I Can't Explain,0.99,15.85
Communication Breakdown,0.99,15.84
Cornucopia,0.99,15.84
Drum Boogie,0.99,15.84
Esquinas,0.99,15.84
Folhas Secas,0.99,15.84
Heaven Coming Down,0.99,15.84
Helpless,0.99,15.84
Nega Do Cabelo Duro,0.99,15.84
Paint It Black,0.99,15.84
Powerslave,0.99,15.84
Saturnine,0.99,15.84
Save The Children,0.99,15.84
Stir It Up (Live),0.99,15.84
Tanto Tempo,0.99,15.84
Turbo Lover,0.99,15.84
Um Amor Puro,0.99,15.84
A Day In the Life,1.99,14.91
Amanhã Não Se Sabe,0.99,14.91
Distractions,1.99,14.91
Eu E Ela,0.99,14.91
"Exodus, Pt. 1",1.99,14.91
Genesis,1.99,14.91
Nothing to Hide,1.99,14.91
Sonifera Ilha,0.99,14.91
Unfinished Business,1.99,14.91
Pilot,1.99,14.89
A Melhor Forma,0.99,14.87
Give Peace a Chance,0.99,14.87
Amor De Muito,0.99,14.85
Battery,0.99,14.85
Better Than You,0.99,14.85
Breakdown,0.99,14.85
Bron-Y-Aur Stomp,0.99,14.85
C'est La Vie,0.99,14.85
Cabeça Dinossauro,0.99,14.85
Children Of The Grave,0.99,14.85
Comida,0.99,14.85
Country Feedback,0.99,14.85
Deuces Are Wild,0.99,14.85
Dirty Day,0.99,14.85
Don't Look To The Eyes Of A Stranger,0.99,14.85
Easy,0.99,14.85
Esporrei Na Manivela,0.99,14.85
For Whom The Bell Tolls,0.99,14.85
For Your Life,0.99,14.85
Gangland,0.99,14.85
Garden of Eden,0.99,14.85
Geni E O Zepelim,0.99,14.85
Hey America,0.99,14.85
I Believe,0.99,14.85
Judgement Of Heaven,0.99,14.85
L'Arc En Ciel De Miles,0.99,14.85
Last Cup Of Sorrow,0.99,14.85
Living On Love,0.99,14.85
"Mama, I'm Coming Home",0.99,14.85
Meu Erro,0.99,14.85
Midlife Crisis,0.99,14.85
Midnight From The Inside Out,0.99,14.85
Nice Guys Finish Last,0.99,14.85
Overdose,0.99,14.85
Piece Of Pie,0.99,14.85
Que Luz É Essa,0.99,14.85
Question!,0.99,14.85
Ramble On,0.99,14.85
Red Light,0.99,14.85
Rocket Queen,0.99,14.85
Samba De Orly,0.99,14.85
Samba Do Lado,0.99,14.85
Shoot Me Again,0.99,14.85
Sign Of The Cross,0.99,14.85
Since I've Been Loving You,0.99,14.85
Snowballed,0.99,14.85
"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",0.99,14.85
Sweet Hitch-Hiker,0.99,14.85
The Midnight Special,0.99,14.85
Title Song,0.99,14.85
Walking Into Clarksdale,0.99,14.85
What A Day,0.99,14.85
When I Come Around,0.99,14.85
Woman Of The World (Ao Vivo),0.99,14.85
"Abraham, Martin And John",0.99,14.85
Aces High,0.99,14.85
As Rosas Não Falam (Beth Carvalho),0.99,14.85
Beira Mar,0.99,14.85
Blue Rythm Fantasy,0.99,14.85
Boris The Spider,0.99,14.85
Chemical Wedding,0.99,14.85
Dancing Days,0.99,14.85
"Dois Pra Lá, Dois Pra Cá",0.99,14.85
Holiday,0.99,14.85
Is This Love (Live),0.99,14.85
Lay Down Sally,0.99,14.85
Meditação,0.99,14.85
Motorbreath,0.99,14.85
Música No Ar,0.99,14.85
Nebulosa Do Amor,0.99,14.85
Nothing Else Matters,0.99,14.85
Onde Anda Você,0.99,14.85
Rappers Reais,0.99,14.85
Real Love,0.99,14.85
Revolta Olodum,0.99,14.85
Rock And Roll All Nite,0.99,14.85
Sangue Latino,0.99,14.85
Snowblind,0.99,14.85
Stairway To Heaven,0.99,14.85
Starburst,0.99,14.85
Tarde Em Itapoã,0.99,14.85
Waiting,0.99,14.85
We Are The Champions,0.99,14.85
Whiskey In The Jar,0.99,14.85
You've Got Another Thing Comin',0.99,14.85
Álibi,0.99,14.85
'Round Midnight,0.99,13.86
01 - Prowler,0.99,13.86
04 - Running Free,0.99,13.86
05 - Phantom of the Opera,0.99,13.86
09 - Iron Maiden,0.99,13.86
1/2 Full,0.99,13.86
2 X 4,0.99,13.86
A Bencao E Outros,0.99,13.86
A Cura,0.99,13.86
A Menina Dança,0.99,13.86
A Moça e a Chuva,0.99,13.86
A Statistic,0.99,13.86
A Touch Away,0.99,13.86
A Twist In The Tail,0.99,13.86
A.N.D.R.O.T.A.Z.,0.99,13.86
Action,0.99,13.86
Advance Romance,0.99,13.86
Aeroplane Flies High,0.99,13.86
Age Of Innocence,0.99,13.86
Agora Que O Dia Acordou,0.99,13.86
Ali,0.99,13.86
Alive,0.99,13.86
All For You,0.99,13.86
All My Love,0.99,13.86
All Star,0.99,13.86
Aloha,0.99,13.86
"Always With Me, Always With You",0.99,13.86
Amazing,0.99,13.86
American Woman,0.99,13.86
Amor Demais,0.99,13.86
Another Life,0.99,13.86
Anthem,0.99,13.86
Any Colour You Like,0.99,13.86
"Anyway, Anyhow, Anywhere",0.99,13.86
Aos Leões,0.99,13.86
Aquele Abraço,0.99,13.86
Aquilo,0.99,13.86
Arc,0.99,13.86
Are You Gonna Be My Girl,0.99,13.86
Around The World,0.99,13.86
As Dores do Mundo,0.99,13.86
As Tears Go By,0.99,13.86
Assaltaram A Gramática,0.99,13.86
Assim Caminha A Humanidade,0.99,13.86
Assum Preto,0.99,13.86
Ava Adore,0.99,13.86
Back Door Man,0.99,13.86
Back in the Village,0.99,13.86
"Bad, Bad Leroy Brown",0.99,13.86
"Baltimore, DC",0.99,13.86
Be Mine,0.99,13.86
Been A Son,0.99,13.86
Beija-Flor,0.99,13.86
Beijo Partido,0.99,13.86
Bicycle Race,0.99,13.86
Black,0.99,13.86
Black Moon Creeping,0.99,13.86
Black Night,0.99,13.86
Black Satin,0.99,13.86
Blood In The Wall,0.99,13.86
Blues For Pablo (Alternate Take),0.99,13.86
Body Count Anthem,0.99,13.86
Bohemian Rhapsody,0.99,13.86
Boogie Blues,0.99,13.86
Bop Boogie,0.99,13.86
Bored To Tears,0.99,13.86
Bossa,0.99,13.86
Brain Damage,0.99,13.86
Breed,0.99,13.86
Bring Your Daughter... To The Slaughter,0.99,13.86
Brumário,0.99,13.86
Bush Doctor,0.99,13.86
Bye Bye Blackbird,0.99,13.86
C'Mon Everybody,0.99,13.86
Cafezinho,0.99,13.86
Californication,0.99,13.86
Camisa Verde 2001,0.99,13.86
Can't Stand Losing You,0.99,13.86
"Canta, Canta Mais",0.99,13.86
Caprichosos,0.99,13.86
Carol,0.99,13.86
Carolina Hard-Core Ecstasy,0.99,13.86
Casa,0.99,13.86
Cascades : I'm Not Your Lover,0.99,13.86
Caso Você Queira Saber,0.99,13.86
Chains Of Misery,0.99,13.86
Charles Anjo 45,0.99,13.86
Childhoods End?,0.99,13.86
Chão De Estrelas,0.99,13.86
Cigano,0.99,13.86
Closer To The Heart,0.99,13.86
Cochise,0.99,13.86
Come Fly With Me,0.99,13.86
Começaria Tudo Outra Vez,0.99,13.86
Communication Breakdown(2),0.99,13.86
Como É Duro Trabalhar,0.99,13.86
Compulsion,0.99,13.86
Condição,0.99,13.86
Copacabana (Live),0.99,13.86
Corinna,0.99,13.86
Cropduster,0.99,13.86
Crystal Ball,0.99,13.86
Cérebro Eletrônico,0.99,13.86
Dance,0.99,13.86
Dance Enquanto é Tempo,0.99,13.86
Dance Of Death,0.99,13.86
Dandelion,0.99,13.86
Dança Da Solidão,0.99,13.86
"De Do Do Do, De Da Da Da",0.99,13.86
De Noite Na Cama,0.99,13.86
Deeper Underground,0.99,13.86
Deixa,0.99,13.86
Demorou!,0.99,13.86
Denúncia,0.99,13.86
Destitute Illusions,0.99,13.86
Die Die My Darling,0.99,13.86
Die With Your Boots On,0.99,13.86
Dirty Love,0.99,13.86
Disenchanted Lullaby,0.99,13.86
Dissident,0.99,13.86
Divirta-Se (Saindo Da Sua),0.99,13.86
Do You Have Other Loves?,0.99,13.86
Do You Like The Way,0.99,13.86
Do what cha wanna,0.99,13.86
Doesn't Remind Me,0.99,13.86
Don't Look Back,0.99,13.86
Don't Stand so Close to Me,0.99,13.86
Doutor,0.99,13.86
Dreams,0.99,13.86
Drown,0.99,13.86
Drown Me Slowly,0.99,13.86
Dujji,0.99,13.86
E.S.P.,0.99,13.86
El Farol,0.99,13.86
Elderly Woman Behind The Counter In A Small Town,0.99,13.86
