
Artist,chiffre_affaire
Iron Maiden,1233.54
U2,895.590000000001
Lost,833.7
Led Zeppelin,620.73
Metallica,599.94
Deep Purple,550.44
Pearl Jam,408.87
Lenny Kravitz,372.51
Van Halen,336.82
The Office,328.8
Various Artists,318.78
Red Hot Chili Peppers,299.97
Faith No More,296.01
Foo Fighters,270.27
Titãs,269.75
Os Paralamas Do Sucesso,265.32
Queen,256.41
The Rolling Stones,249.48
Eric Clapton,241.56
Heroes,238.61
Audioslave,228.81
Guns N' Roses,222.75
Chico Science & Nação Zumbi,219.78
R.E.M.,216.81
Miles Davis,215.82
Creedence Clearwater Revival,215.82
Kiss,211.86
Green Day,204.93
Battlestar Galactica,202.8
Smashing Pumpkins,192.06
Legião Urbana,191.07
Antônio Carlos Jobim,190.08
Jamiroquai,190.08
Cássia Eller,187.11
The Cult,187.11
Chico Buarque,185.13
Cidade Negra,182.16
Lulu Santos,180.18
Gilberto Gil,177.21
Milton Nascimento,173.25
Ozzy Osbourne,171.31
Nirvana,166.32
Santana,166.32
Zeca Pagodinho,161.74
Battlestar Galactica (Classic),157.1
Tim Maia,146.54
Djavan,141.57
Frank Sinatra,138.6
Skank,138.6
The Tea Party,135.63
Gene Krupa,127.71
Caetano Veloso,123.75
The Who,123.75
The Black Crowes,114.84
Black Label Society,110.88
Funk Como Le Gusta,110.88
Marisa Monte,110.88
Spyro Gyra,110.88
AC/DC,107.91
Jimi Hendrix,105.93
James Brown,104.94
Vinícius De Moraes,104.16
The Clash,103.95
Amy Winehouse,101.02
Velvet Revolver,97.21
Def Leppard,97.02
Marcos Valle,97.02
Mötley Crüe,97.02
The Police,97.02
O Rappa,95.17
Soundgarden,93.06
Body Count,93.06
Os Mutantes,91.08
House Of Pain,90.18
Marvin Gaye,90.09
Gonzaguinha,90.09
O Terço,90.09
Passengers,90.09
JET,87.12
Falamansa,86.13
Toquinho & Vinícius,86.13
BackBeat,83.16
Ed Motta,83.16
Jorge Ben,83.16
Jota Quest,83.16
João Suplicy,83.16
Mônica Marianno,83.16
Aerosmith,82.17
Raul Seixas,82.17
Alanis Morissette,81.18
Incognito,81.18
Motörhead,78.21
Rush,78.21
Alice In Chains,77.22
Black Sabbath,76.23
Planet Hemp,76.23
Elis Regina,76.23
Bruce Dickinson,72.27
Marillion,69.3
Judas Priest,68.31
Olodum,68.31
David Coverdale,67.32
Page & Plant,67.32
System Of A Down,67.32
UB40,67.32
Chris Cornell,64.44
Temple of the Dog,64.44
Cláudio Zoli,59.4
Men At Work,59.4
R.E.M. Feat. Kate Pearson,58.41
Godsmack,57.42
Raimundos,56.43
Billy Cobham,55.44
Dennis Chambers,55.44
Frank Zappa & Captain Beefheart,55.44
Joe Satriani,55.44
Pink Floyd,55.44
Stone Temple Pilots,55.44
Paul D'Ianno,54.45
Stevie Ray Vaughan & Double Trouble,52.47
The Doors,50.49
Scorpions,48.55
Apocalyptica,45.54
Buddy Guy,43.56
"Terry Bozzio, Tony Levin & Steve Stevens",38.61
Accept,27.72
Eugene Ormandy,24.77
Michael Tilson Thomas & San Francisco Symphony,23.78
Sir Georg Solti & Wiener Philharmoniker,16.86
The Posies,16.86
Yo-Yo Ma,16.86
Chicago Symphony Orchestra & Fritz Reiner,16.85
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",15.86
Edo de Waart & San Francisco Symphony,15.86
English Concert & Trevor Pinnock,15.86
Habib Koité and Bamada,15.86
Luciana Souza/Romero Lubambo,15.86
Maurizio Pollini,15.86
Royal Philharmonic Orchestra & Sir Thomas Beecham,15.86
Scholars Baroque Ensemble,15.86
Aquaman,14.89
Emerson String Quartet,14.85
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",12.87
Berliner Philharmoniker & Herbert Von Karajan,11.88
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",10.89
Göteborgs Symfoniker & Neeme Järvi,8.91
Adrian Leaper & Doreen de Feis,5.94
Kent Nagano and Orchestre de l'Opéra de Lyon,5.94
Martin Roscoe,5.94
Michele Campanella,5.94
Philharmonia Orchestra & Sir Neville Marriner,5.94
Antal Doráti & London Symphony Orchestra,3.96
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",3.96
Julian Bream,3.96
"Roger Norrington, London Classical Players",3.96
The King's Singers,3.96
Dread Zeppelin,2.98
Academy of St. Martin in the Fields & Sir Neville Marriner,1.98
Berliner Philharmoniker & Hans Rosbaud,1.98
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1.98
Orchestra of The Age of Enlightenment,1.98
Otto Klemperer & Philharmonia Orchestra,1.98
The 12 Cellists of The Berlin Philharmonic,1.98
Yehudi Menuhin,1.98
Calexico,0.99
